年分,月份,縣市別,鄉鎮別,性別,戶數,人口數
113,1,臺北市,中正區,男,"65,509","70,868"
113,1,臺北市,中正區,女,"65,509","79,286"
113,1,臺北市,大同區,男,"53,185","57,489"
113,1,臺北市,大同區,女,"53,185","62,468"
113,1,臺北市,萬華區,男,"79,424","83,987"
113,1,臺北市,萬華區,女,"79,424","89,444"
113,1,臺北市,文山區,男,"108,657","123,605"
113,1,臺北市,文山區,女,"108,657","136,693"
113,1,臺北市,南港區,男,"48,266","54,974"
113,1,臺北市,南港區,女,"48,266","58,919"
113,1,臺北市,內湖區,男,"111,500","130,565"
113,1,臺北市,內湖區,女,"111,500","145,608"
113,1,臺北市,士林區,男,"108,174","127,765"
113,1,臺北市,士林區,女,"108,174","139,076"
113,1,臺北市,北投區,男,"99,294","115,468"
113,1,臺北市,北投區,女,"99,294","126,911"
113,1,桃園市,總計,男,"905,018","1,143,524"
113,1,桃園市,總計,女,"905,018","1,175,594"
113,1,桃園市,桃園區,男,"191,195","226,483"
113,1,桃園市,桃園區,女,"191,195","244,701"
113,1,桃園市,中壢區,男,"172,706","210,436"
113,1,桃園市,中壢區,女,"172,706","221,150"
113,1,桃園市,大溪區,男,"35,373","47,917"
113,1,桃園市,大溪區,女,"35,373","46,717"
113,1,桃園市,楊梅區,男,"67,479","89,890"
113,1,桃園市,楊梅區,女,"67,479","90,231"
113,1,桃園市,蘆竹區,男,"63,955","83,518"
113,1,桃園市,蘆竹區,女,"63,955","85,731"
113,1,桃園市,大園區,男,"33,640","43,904"
113,1,桃園市,大園區,女,"33,640","42,794"
113,1,桃園市,龜山區,男,"76,476","88,128"
113,1,桃園市,龜山區,女,"76,476","90,474"
113,1,桃園市,八德區,男,"81,656","105,768"
113,1,桃園市,八德區,女,"81,656","107,852"
113,1,桃園市,龍潭區,男,"47,154","62,805"
113,1,桃園市,龍潭區,女,"47,154","63,843"
113,1,桃園市,平鎮區,男,"84,838","113,250"
113,1,桃園市,平鎮區,女,"84,838","116,465"
113,1,桃園市,新屋區,男,"18,178","26,039"
113,1,桃園市,新屋區,女,"18,178","23,196"
113,1,桃園市,觀音區,男,"28,373","38,452"
113,1,桃園市,觀音區,女,"28,373","36,153"
113,1,桃園市,復興區,男,"3,995","6,934"
113,1,桃園市,復興區,女,"3,995","6,287"
113,1,臺中市,總計,男,"1,061,552","1,392,198"
113,1,臺中市,總計,女,"1,061,552","1,455,066"
113,1,臺中市,中　區,男,"8,243","8,722"
113,1,臺中市,中　區,女,"8,243","9,081"
113,1,臺中市,東　區,男,"30,765","37,873"
113,1,臺中市,東　區,女,"30,765","39,050"
113,1,臺中市,南　區,男,"52,169","60,471"
113,1,臺中市,南　區,女,"52,169","66,483"
113,1,臺中市,西　區,男,"47,377","53,496"
113,1,臺中市,西　區,女,"47,377","60,177"
113,1,臺中市,北　區,男,"62,274","68,301"
113,1,臺中市,北　區,女,"62,274","75,735"
113,1,臺中市,西屯區,男,"95,147","112,186"
113,1,臺中市,西屯區,女,"95,147","123,417"
113,1,臺中市,南屯區,男,"72,157","86,603"
113,1,臺中市,南屯區,女,"72,157","95,818"
113,1,臺中市,北屯區,男,"120,786","144,674"
113,1,臺中市,北屯區,女,"120,786","160,112"
113,1,臺中市,豐原區,男,"56,673","80,520"
113,1,臺中市,豐原區,女,"56,673","83,396"
113,1,臺中市,東勢區,男,"17,637","24,094"
113,1,臺中市,東勢區,女,"17,637","23,281"
113,1,臺中市,大甲區,男,"24,681","37,369"
113,1,臺中市,大甲區,女,"24,681","37,304"
113,1,臺中市,清水區,男,"32,229","45,788"
113,1,臺中市,清水區,女,"32,229","44,133"
113,1,臺中市,沙鹿區,男,"34,183","49,509"
113,1,臺中市,沙鹿區,女,"34,183","49,429"
113,1,臺中市,梧棲區,男,"20,803","30,559"
113,1,臺中市,梧棲區,女,"20,803","30,565"
113,1,臺中市,后里區,男,"17,395","26,899"
113,1,臺中市,后里區,女,"17,395","26,680"
113,1,臺中市,神岡區,男,"20,798","32,749"
113,1,臺中市,神岡區,女,"20,798","31,605"
113,1,臺中市,潭子區,男,"38,759","53,602"
113,1,臺中市,潭子區,女,"38,759","55,366"
113,1,臺中市,大雅區,男,"31,695","47,461"
113,1,臺中市,大雅區,女,"31,695","48,199"
113,1,臺中市,新社區,男,"7,892","11,902"
113,1,臺中市,新社區,女,"7,892","11,167"
113,1,臺中市,石岡區,男,"4,946","7,271"
113,1,臺中市,石岡區,女,"4,946","6,827"
113,1,臺中市,外埔區,男,"10,204","15,919"
113,1,臺中市,外埔區,女,"10,204","15,239"
113,1,臺中市,大安區,男,"5,739","9,488"
113,1,臺中市,大安區,女,"5,739","8,558"
113,1,臺中市,烏日區,男,"29,966","39,814"
113,1,臺中市,烏日區,女,"29,966","40,441"
113,1,臺中市,大肚區,男,"19,108","28,439"
113,1,臺中市,大肚區,女,"19,108","27,487"
113,1,臺中市,龍井區,男,"25,912","39,353"
113,1,臺中市,龍井區,女,"25,912","39,107"
113,1,臺中市,霧峰區,男,"21,488","32,253"
113,1,臺中市,霧峰區,女,"21,488","31,580"
113,1,臺中市,太平區,男,"72,327","97,579"
113,1,臺中市,太平區,女,"72,327","100,841"
113,1,臺中市,大里區,男,"75,473","103,555"
113,1,臺中市,大里區,女,"75,473","108,947"
113,1,臺中市,和平區,男,"4,726","5,749"
113,1,臺中市,和平區,女,"4,726","5,041"
113,1,臺南市,總計,男,"727,671","923,061"
113,1,臺南市,總計,女,"727,671","936,739"
113,1,臺南市,新營區,男,"30,143","36,821"
113,1,臺南市,新營區,女,"30,143","38,144"
113,1,臺南市,鹽水區,男,"10,180","12,599"
113,1,臺南市,鹽水區,女,"10,180","11,640"
113,1,臺南市,白河區,男,"10,538","13,445"
113,1,臺南市,白河區,女,"10,538","12,373"
113,1,臺南市,柳營區,男,"8,075","10,560"
113,1,臺南市,柳營區,女,"8,075","9,697"
113,1,臺南市,後壁區,男,"8,699","11,128"
113,1,臺南市,後壁區,女,"8,699","10,444"
113,1,臺南市,東山區,男,"8,043","10,186"
113,1,臺南市,東山區,女,"8,043","8,928"
113,1,臺南市,麻豆區,男,"16,542","21,767"
113,1,臺南市,麻豆區,女,"16,542","21,267"
113,1,臺南市,下營區,男,"9,362","11,556"
113,1,臺南市,下營區,女,"9,362","10,840"
113,1,臺南市,六甲區,男,"8,133","10,916"
113,1,臺南市,六甲區,女,"8,133","10,258"
113,1,臺南市,官田區,男,"8,263","10,633"
113,1,臺南市,官田區,女,"8,263","10,203"
113,1,臺南市,大內區,男,"3,631","4,679"
113,1,臺南市,大內區,女,"3,631","4,033"
113,1,臺南市,佳里區,男,"21,971","28,694"
113,1,臺南市,佳里區,女,"21,971","29,532"
113,1,臺南市,學甲區,男,"9,890","12,626"
113,1,臺南市,學甲區,女,"9,890","12,022"
113,1,臺南市,西港區,男,"9,095","12,596"
113,1,臺南市,西港區,女,"9,095","12,405"
113,1,臺南市,七股區,男,"7,925","10,989"
113,1,臺南市,七股區,女,"7,925","10,245"
113,1,臺南市,將軍區,男,"7,055","9,296"
113,1,臺南市,將軍區,女,"7,055","8,930"
113,1,臺南市,北門區,男,"3,996","5,019"
113,1,臺南市,北門區,女,"3,996","4,956"
113,1,臺南市,新化區,男,"15,340","21,638"
113,1,臺南市,新化區,女,"15,340","21,146"
113,1,臺南市,善化區,男,"20,727","26,325"
113,1,臺南市,善化區,女,"20,727","26,146"
113,1,高雄市,總計,男,"1,151,308","1,342,653"
113,1,高雄市,總計,女,"1,151,308","1,394,877"
113,1,高雄市,鹽埕區,男,"10,834","11,048"
113,1,高雄市,鹽埕區,女,"10,834","11,510"
113,1,高雄市,鼓山區,男,"61,301","67,167"
113,1,高雄市,鼓山區,女,"61,301","73,590"
113,1,高雄市,左營區,男,"83,747","93,676"
113,1,高雄市,左營區,女,"83,747","103,697"
113,1,高雄市,楠梓區,男,"79,382","94,077"
113,1,高雄市,楠梓區,女,"79,382","99,085"
113,1,高雄市,三民區,男,"142,408","158,810"
113,1,高雄市,三民區,女,"142,408","173,080"
113,1,高雄市,新興區,男,"23,600","23,571"
113,1,高雄市,新興區,女,"23,600","26,041"
113,1,高雄市,前金區,男,"13,894","12,656"
113,1,高雄市,前金區,女,"13,894","14,447"
113,1,高雄市,苓雅區,男,"74,328","77,808"
113,1,高雄市,苓雅區,女,"74,328","86,033"
113,1,高雄市,前鎮區,男,"79,804","87,692"
113,1,高雄市,前鎮區,女,"79,804","91,989"
113,1,高雄市,旗津區,男,"10,706","13,369"
113,1,高雄市,旗津區,女,"10,706","12,798"
113,1,高雄市,小港區,男,"70,315","76,251"
113,1,高雄市,小港區,女,"70,315","78,775"
113,1,高雄市,鳳山區,男,"148,448","173,107"
113,1,高雄市,鳳山區,女,"148,448","183,296"
113,1,高雄市,林園區,男,"27,371","34,109"
113,1,高雄市,林園區,女,"27,371","34,059"
113,1,高雄市,大寮區,男,"44,933","56,805"
113,1,高雄市,大寮區,女,"44,933","55,224"
113,1,高雄市,大樹區,男,"14,209","20,592"
113,1,高雄市,大樹區,女,"14,209","19,848"
113,1,高雄市,大社區,男,"13,561","17,032"
113,1,高雄市,大社區,女,"13,561","16,648"
113,1,高雄市,仁武區,男,"40,844","48,944"
113,1,高雄市,仁武區,女,"40,844","48,527"
113,1,高雄市,鳥松區,男,"19,744","22,281"
113,1,高雄市,鳥松區,女,"19,744","22,140"
113,1,高雄市,岡山區,男,"36,203","47,037"
113,1,高雄市,岡山區,女,"36,203","48,492"
113,1,高雄市,橋頭區,男,"17,395","20,873"
113,1,高雄市,橋頭區,女,"17,395","20,934"
113,1,高雄市,燕巢區,男,"10,977","15,048"
113,1,高雄市,燕巢區,女,"10,977","13,696"
113,1,高雄市,田寮區,男,"3,030","3,601"
113,1,高雄市,田寮區,女,"3,030","2,909"
113,1,高雄市,阿蓮區,男,"9,505","13,758"
113,1,高雄市,阿蓮區,女,"9,505","13,630"
113,1,高雄市,路竹區,男,"17,524","25,441"
113,1,高雄市,路竹區,女,"17,524","24,852"
113,1,高雄市,湖內區,男,"11,416","14,971"
113,1,高雄市,湖內區,女,"11,416","14,546"
113,1,高雄市,茄萣區,男,"10,709","14,903"
113,1,高雄市,茄萣區,女,"10,709","14,311"
113,1,高雄市,永安區,男,"5,833","6,907"
113,1,高雄市,永安區,女,"5,833","6,961"
113,1,高雄市,彌陀區,男,"6,883","9,293"
113,1,高雄市,彌陀區,女,"6,883","8,960"
113,1,高雄市,梓官區,男,"13,227","17,800"
113,1,高雄市,梓官區,女,"13,227","17,024"
113,1,高雄市,旗山區,男,"13,748","17,572"
113,1,高雄市,旗山區,女,"13,748","16,693"
113,1,高雄市,美濃區,男,"15,076","19,427"
113,1,高雄市,美濃區,女,"15,076","17,520"
113,1,高雄市,六龜區,男,"5,366","6,278"
113,1,高雄市,六龜區,女,"5,366","5,399"
113,1,高雄市,甲仙區,男,"2,279","2,911"
113,1,高雄市,甲仙區,女,"2,279","2,615"
113,1,高雄市,杉林區,男,"4,728","6,002"
113,1,高雄市,杉林區,女,"4,728","4,934"
113,1,高雄市,內門區,男,"5,095","7,085"
113,1,高雄市,內門區,女,"5,095","6,074"
113,1,高雄市,茂林區,男,626,931
113,1,高雄市,茂林區,女,626,966
113,1,高雄市,桃源區,男,"1,382","2,205"
113,1,高雄市,桃源區,女,"1,382","2,025"
113,1,高雄市,那瑪夏區,男,877,"1,615"
113,1,高雄市,那瑪夏區,女,877,"1,549"
